Iter.  R0.in(2)       R0.out(3)      R1.in(4)       R1.out(5)      R2.in(6)       R2.out(7)      R3.in(8)       R3.out(9)      R4.in(10)      R4.out(11)     R5.in(12)      R5.out(13)     R6.in(14)      R6.out(15)     R7.in(16)      R7.out(17)     R8.in(18)      R8.out(19)     R9.in(20)      R9.out(21)     R10.in(22)     R10.out(23)    R11.in(24)     R11.out(25)    R12.in(26)     R12.out(27)    R13.in(28)     R13.out(29)    R14.in(30)     R14.out(31)    R15.in(32)     R15.out(33)    R16.in(34)     R16.out(35)    
20     6.041636e-09   6.197327e-09   1.729900e-08   1.239615e-08   1.520963e-09   1.403037e-09   3.046116e-08   2.588067e-08   6.283610e-09   4.590204e-09   5.353704e-09   2.464754e-08   2.260249e-13   1.837129e-13   9.450428e-09   1.303231e-08   2.258650e-08   4.321723e-08   5.857810e-09   9.365165e-09   1.402565e-09   8.561464e-10   4.708649e-13   3.104495e-13   2.749026e-10   2.375183e-10   8.090873e-10   2.367984e-09   9.692485e-10   8.509999e-10   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
21     6.373921e-09   6.530356e-09   1.817995e-08   1.299784e-08   1.585082e-09   1.461160e-09   3.203736e-08   2.718686e-08   6.583398e-09   4.799169e-09   5.688695e-09   2.602304e-08   2.357795e-13   1.917423e-13   1.000242e-08   1.378131e-08   2.385082e-08   4.541139e-08   6.205117e-09   9.937947e-09   1.460669e-09   8.881015e-10   4.903996e-13   3.236669e-13   2.858554e-10   2.472833e-10   8.509999e-10   2.519986e-09   1.018703e-09   8.946063e-10   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
22     6.720879e-09   6.877204e-09   1.910028e-08   1.362628e-08   1.651592e-09   1.521452e-09   3.368271e-08   2.855382e-08   6.896276e-09   5.017315e-09   6.040390e-09   2.746020e-08   2.458178e-13   2.000098e-13   1.058033e-08   1.456455e-08   2.517195e-08   4.770345e-08   6.568959e-09   1.053938e-08   1.520941e-09   9.212605e-10   5.106184e-13   3.373553e-13   2.972295e-10   2.574437e-10   8.946063e-10   2.680168e-09   1.070201e-09   9.400723e-10   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
23     7.083624e-09   7.238863e-09   2.006299e-08   1.428374e-08   1.720863e-09   1.584256e-09   3.540153e-08   2.998600e-08   7.223438e-09   5.245543e-09   6.409981e-09   2.896246e-08   2.562138e-13   2.085746e-13   1.118592e-08   1.538420e-08   2.655309e-08   5.009929e-08   6.950442e-09   1.117132e-08   1.583724e-09   9.558312e-10   5.316502e-13   3.515979e-13   3.090881e-10   2.680548e-10   9.400723e-10   2.849109e-09   1.123913e-09   9.875527e-10   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
24     7.463249e-09   7.616298e-09   2.107117e-08   1.497252e-08   1.793238e-09   1.649889e-09   3.719827e-08   3.148799e-08   7.566086e-09   5.484761e-09   6.798650e-09   3.053335e-08   2.670307e-13   2.174874e-13   1.182092e-08   1.624240e-08   2.799751e-08   5.260508e-08   7.350671e-09   1.183563e-08   1.649335e-09   9.920058e-10   5.536101e-13   3.664691e-13   3.214900e-10   2.791683e-10   9.875527e-10   3.027389e-09   1.180003e-09   1.037197e-09   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
25     7.860857e-09   8.010473e-09   2.212800e-08   1.569502e-08   1.869050e-09   1.718659e-09   3.907754e-08   3.306465e-08   7.925451e-09   5.735903e-09   7.207589e-09   3.217646e-08   2.783251e-13   2.267939e-13   1.248713e-08   1.714136e-08   2.950858e-08   5.522729e-08   7.770764e-09   1.253423e-08   1.718081e-09   1.029970e-09   5.766056e-13   3.820394e-13   3.344923e-10   2.908347e-10   1.037197e-09   3.215597e-09   1.238632e-09   1.089155e-09   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
26     8.277572e-09   8.422364e-09   2.323682e-08   1.645375e-08   1.948629e-09   1.790871e-09   4.104422e-08   3.472110e-08   8.302817e-09   5.999939e-09   7.638019e-09   3.389556e-08   2.901504e-13   2.365373e-13   1.318637e-08   1.808334e-08   3.108979e-08   5.797281e-08   8.211870e-09   1.326911e-08   1.790269e-09   1.069908e-09   6.007413e-13   3.983777e-13   3.481517e-10   3.031047e-10   1.089155e-09   3.414342e-09   1.299967e-09   1.143578e-09   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
27     8.714558e-09   8.852976e-09   2.440116e-08   1.725138e-08   2.032313e-09   1.866839e-09   4.310341e-08   3.646279e-08   8.699533e-09   6.277892e-09   8.091201e-09   3.569457e-08   3.025590e-13   2.467604e-13   1.392054e-08   1.907070e-08   3.274477e-08   6.084890e-08   8.675178e-09   1.404233e-08   1.866212e-09   1.112009e-09   6.261221e-13   4.155537e-13   3.625266e-10   3.160303e-10   1.143578e-09   3.624255e-09   1.364175e-09   1.200621e-09   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
28     9.173028e-09   9.303351e-09   2.562475e-08   1.809072e-08   2.120456e-09   1.946888e-09   4.526055e-08   3.829556e-08   9.117035e-09   6.570851e-09   8.568447e-09   3.757758e-08   3.156038e-13   2.575062e-13   1.469160e-08   2.010589e-08   3.447734e-08   6.386332e-08   9.161930e-09   1.485605e-08   1.946234e-09   1.156470e-09   6.528555e-13   4.336391e-13   3.776775e-10   3.296658e-10   1.200621e-09   3.845995e-09   1.431432e-09   1.260447e-09   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
29     9.654260e-09   9.774577e-09   2.691159e-08   1.897481e-08   2.213427e-09   2.031361e-09   4.752137e-08   4.022564e-08   9.556850e-09   6.879978e-09   9.071131e-09   3.954889e-08   3.293392e-13   2.688193e-13   1.550165e-08   2.119150e-08   3.629149e-08   6.702431e-08   9.673422e-09   1.571256e-08   2.030679e-09   1.203499e-09   6.810536e-13   4.527090e-13   3.936682e-10   3.440682e-10   1.260447e-09   4.080250e-09   1.501922e-09   1.323226e-09   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
30     1.015960e-08   1.026780e-08   2.826594e-08   1.990688e-08   2.311621e-09   2.120623e-09   4.989200e-08   4.225973e-08   1.002062e-08   7.206520e-09   9.600691e-09   4.161304e-08   3.438224e-13   2.807465e-13   1.635287e-08   2.233023e-08   3.819143e-08   7.034068e-08   1.021102e-08   1.661422e-08   2.119911e-09   1.253316e-09   7.108346e-13   4.728428e-13   4.105664e-10   3.592984e-10   1.323226e-09   4.327746e-09   1.575839e-09   1.389137e-09   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
31     1.069046e-08   1.078422e-08   2.969236e-08   2.089043e-08   2.415458e-09   2.215065e-09   5.237896e-08   4.440504e-08   1.051010e-08   7.551821e-09   1.015864e-08   4.377479e-08   3.591136e-13   2.933373e-13   1.724755e-08   2.352493e-08   4.018159e-08   7.382184e-08   1.077615e-08   1.756357e-08   2.214321e-09   1.306157e-09   7.423240e-13   4.941251e-13   4.284447e-10   3.754213e-10   1.389137e-09   4.589243e-09   1.653387e-09   1.458370e-09   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
32     1.124837e-08   1.132512e-08   3.119577e-08   2.192922e-08   2.525391e-09   2.315106e-09   5.498920e-08   4.666931e-08   1.102719e-08   7.917331e-09   1.074658e-08   4.603916e-08   3.752770e-13   3.066444e-13   1.818813e-08   2.477861e-08   4.226661e-08   7.747784e-08   1.137034e-08   1.856325e-08   2.314328e-09   1.362276e-09   7.756559e-13   5.166465e-13   4.473809e-10   3.925067e-10   1.458370e-09   4.865544e-09   1.734785e-09   1.531126e-09   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
33     1.183491e-08   1.189183e-08   3.278144e-08   2.302730e-08   2.641908e-09   2.421198e-09   5.773016e-08   4.906090e-08   1.157395e-08   8.304619e-09   1.136618e-08   4.841143e-08   3.923815e-13   3.207246e-13   1.917719e-08   2.609445e-08   4.445143e-08   8.131948e-08   1.199516e-08   1.961607e-08   2.420385e-09   1.421950e-09   8.109745e-13   5.405045e-13   4.674589e-10   4.106298e-10   1.531126e-09   5.157491e-09   1.820262e-09   1.607620e-09   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
34     1.245180e-08   1.248578e-08   3.445506e-08   2.418907e-08   2.765536e-09   2.533830e-09   6.060977e-08   5.158883e-08   1.215257e-08   8.715386e-09   1.201922e-08   5.089718e-08   4.105011e-13   3.356388e-13   2.021744e-08   2.747579e-08   4.674121e-08   8.535831e-08   1.265230e-08   2.072498e-08   2.532979e-09   1.485476e-09   8.484351e-13   5.658042e-13   4.887694e-10   4.298718e-10   1.607620e-09   5.465974e-09   1.910066e-09   1.688079e-09   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
35     1.310086e-08   1.310849e-08   3.622273e-08   2.541929e-08   2.896848e-09   2.653534e-09   6.363654e-08   5.426284e-08   1.276548e-08   9.151476e-09   1.270757e-08   5.350230e-08   4.297157e-13   3.514528e-13   2.131175e-08   2.892618e-08   4.914142e-08   8.960674e-08   1.334352e-08   2.189308e-08   2.652643e-09   1.553178e-09   8.882052e-13   5.926594e-13   5.114107e-10   4.503204e-10   1.688079e-09   5.791927e-09   2.004459e-09   1.772748e-09   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
36     1.378400e-08   1.376156e-08   3.809108e-08   2.672310e-08   3.036463e-09   2.780885e-09   6.681960e-08   5.709348e-08   1.341525e-08   9.614894e-09   1.343319e-08   5.623297e-08   4.501116e-13   3.682379e-13   2.246318e-08   3.044933e-08   5.165783e-08   9.407808e-08   1.407070e-08   2.312367e-08   2.779951e-09   1.625407e-09   9.304663e-13   6.211933e-13   5.354895e-10   4.720712e-10   1.772748e-09   6.136336e-09   2.103721e-09   1.861885e-09   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
37     1.450330e-08   1.444669e-08   4.006724e-08   2.810611e-08   3.185058e-09   2.916510e-09   7.016873e-08   6.009214e-08   1.410472e-08   1.010782e-08   1.419816e-08   5.909575e-08   4.717825e-13   3.860713e-13   2.367495e-08   3.204920e-08   5.429651e-08   9.878669e-08   1.483581e-08   2.442022e-08   2.915531e-09   1.702549e-09   9.754154e-13   6.515399e-13   5.611219e-10   4.952275e-10   1.861885e-09   6.500233e-09   2.208153e-09   1.955769e-09   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
38     1.526095e-08   1.516570e-08   4.215893e-08   2.957439e-08   3.343366e-09   3.061093e-09   7.369441e-08   6.327119e-08   1.483696e-08   1.063264e-08   1.500467e-08   6.209752e-08   4.948300e-13   4.050370e-13   2.495047e-08   3.372994e-08   5.706388e-08   1.037480e-07   1.564092e-08   2.578637e-08   3.060065e-09   1.785022e-09   1.023266e-12   6.838445e-13   5.884343e-10   5.199020e-10   1.955769e-09   6.884708e-09   2.318076e-09   2.054697e-09   0.000000e+00   0.000000e+00   0.000000e+00   3.710124e-39   
