Iter.  R0.in(2)       R0.out(3)      R1.in(4)       R1.out(5)      R2.in(6)       R2.out(7)      R3.in(8)       R3.out(9)      R4.in(10)      R4.out(11)     R5.in(12)      R5.out(13)     R6.in(14)      R6.out(15)     R7.in(16)      R7.out(17)     R8.in(18)      R8.out(19)     R9.in(20)      R9.out(21)     R10.in(22)     R10.out(23)    R11.in(24)     R11.out(25)    R12.in(26)     R12.out(27)    R13.in(28)     R13.out(29)    R14.in(30)     R14.out(31)    R15.in(32)     R15.out(33)    R16.in(34)     R16.out(35)    
20     6.010909e-02   6.759398e-02   8.503538e-02   8.978781e-02   5.822558e-02   5.825243e-02   8.736659e-02   9.660587e-02   7.221359e-02   7.288198e-02   4.781820e-02   7.292808e-02   2.947131e-05   2.947133e-05   6.158897e-02   7.641720e-02   7.354720e-02   9.602692e-02   4.893951e-02   6.184001e-02   5.823288e-02   5.831326e-02   4.086914e-05   4.088224e-05   1.632964e-02   1.966438e-02   2.794940e-02   3.733538e-02   2.554905e-02   2.904627e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
21     6.219078e-02   6.969888e-02   8.647316e-02   9.115360e-02   6.115726e-02   6.118291e-02   8.839183e-02   9.749136e-02   7.444812e-02   7.510599e-02   4.896475e-02   7.380048e-02   3.104915e-05   3.104917e-05   6.290915e-02   7.762370e-02   7.447889e-02   9.665339e-02   5.010136e-02   6.290479e-02   6.116238e-02   6.123510e-02   4.285113e-05   4.286396e-05   1.713910e-02   2.052065e-02   2.904627e-02   3.842316e-02   2.655863e-02   3.008956e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
22     6.415819e-02   7.168698e-02   8.780971e-02   9.241858e-02   6.394288e-02   6.396725e-02   8.933108e-02   9.829248e-02   7.655672e-02   7.720398e-02   5.004161e-02   7.460025e-02   3.255422e-05   3.255425e-05   6.414438e-02   7.874255e-02   7.533527e-02   9.720743e-02   5.119374e-02   6.389590e-02   6.394578e-02   6.401017e-02   4.473976e-05   4.475233e-05   1.790782e-02   2.133559e-02   3.008956e-02   3.945242e-02   2.751760e-02   3.108105e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
23     6.601536e-02   7.356243e-02   8.904961e-02   9.358708e-02   6.658577e-02   6.660878e-02   9.018902e-02   9.901328e-02   7.854317e-02   7.917973e-02   5.105276e-02   7.533198e-02   3.398840e-05   3.398842e-05   6.529938e-02   7.977872e-02   7.612102e-02   9.769266e-02   5.222016e-02   6.481759e-02   6.658643e-02   6.664184e-02   4.653746e-05   4.654978e-05   1.863675e-02   2.211025e-02   3.108105e-02   4.042555e-02   2.842742e-02   3.202233e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
24     6.776600e-02   7.532898e-02   9.019679e-02   9.466287e-02   6.908939e-02   6.911099e-02   9.096955e-02   9.965718e-02   8.041108e-02   8.103685e-02   5.200149e-02   7.599947e-02   3.535352e-05   3.535354e-05   6.637808e-02   8.073634e-02   7.683999e-02   9.811215e-02   5.318355e-02   6.567340e-02   6.908779e-02   6.913362e-02   4.824661e-05   4.825868e-05   1.932689e-02   2.284571e-02   3.202233e-02   4.134463e-02   2.928947e-02   3.291491e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
25     6.941352e-02   7.699010e-02   9.125470e-02   9.564928e-02   7.145729e-02   7.147739e-02   9.167600e-02   1.002272e-01   8.216388e-02   8.277880e-02   5.289054e-02   7.660589e-02   3.665139e-05   3.665141e-05   6.738382e-02   8.161892e-02   7.749542e-02   9.846856e-02   5.408644e-02   6.646630e-02   7.145340e-02   7.148909e-02   4.986952e-05   4.988135e-05   1.997921e-02   2.354298e-02   3.291491e-02   4.221149e-02   3.010508e-02   3.376015e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
26     7.096114e-02   7.854900e-02   9.222644e-02   9.654931e-02   7.369299e-02   7.371155e-02   9.231127e-02   1.007258e-01   8.380490e-02   8.440888e-02   5.372230e-02   7.715400e-02   3.788377e-05   3.788380e-05   6.831950e-02   8.242949e-02   7.809010e-02   9.876427e-02   5.493103e-02   6.719888e-02   7.368681e-02   7.371184e-02   5.140845e-05   5.142005e-05   2.059473e-02   2.420306e-02   3.376015e-02   4.302779e-02   3.087552e-02   3.455937e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
27     7.241189e-02   8.000874e-02   9.311482e-02   9.736573e-02   7.580004e-02   7.581701e-02   9.287796e-02   1.011556e-01   8.533732e-02   8.593031e-02   5.449886e-02   7.764623e-02   3.905238e-05   3.905240e-05   6.918769e-02   8.317079e-02   7.862653e-02   9.900140e-02   5.571931e-02   6.787344e-02   7.579156e-02   7.580543e-02   5.286560e-05   5.287698e-05   2.117442e-02   2.482694e-02   3.455937e-02   4.379505e-02   3.160202e-02   3.531380e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
28     7.376867e-02   8.137222e-02   9.392247e-02   9.810109e-02   7.778193e-02   7.779726e-02   9.337843e-02   1.015187e-01   8.676422e-02   8.734617e-02   5.522213e-02   7.808477e-02   4.015888e-05   4.015890e-05   6.999076e-02   8.384526e-02   7.910693e-02   9.918193e-02   5.645312e-02   6.849207e-02   7.777115e-02   7.777341e-02   5.424311e-05   5.425427e-05   2.171929e-02   2.541555e-02   3.531380e-02   4.451469e-02   3.228576e-02   3.602462e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
29     7.503426e-02   8.264221e-02   9.465183e-02   9.875782e-02   7.964214e-02   7.965578e-02   9.381486e-02   1.018171e-01   8.808861e-02   8.865948e-02   5.589384e-02   7.847163e-02   4.120490e-05   4.120492e-05   7.073085e-02   8.445519e-02   7.953338e-02   9.930769e-02   5.713413e-02   6.905670e-02   7.962904e-02   7.961927e-02   5.554306e-05   5.555400e-05   2.223029e-02   2.596980e-02   3.602462e-02   4.518804e-02   3.292790e-02   3.669296e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
